GroupingNum,Grouping1 size,Grouping1 to center_x,Grouping1 to center_y,Grouping2 size,Grouping2 to center_x,Grouping2 to center_y,Grouping3 size,Grouping3 to center_x,Grouping3 to center_y,Equip_Output
1,6,3.7402597402597397,45.97402597402598,None,None,None,None,None,None,"2,11"
1,6,7.870129870129871,41.84415584415584,None,None,None,None,None,None,"2,11"
1,6,7.597402597402597,45.740259740259745,None,None,None,None,None,None,"2,11"
1,6,5.6103896103896105,40.44155844155844,None,None,None,None,None,None,"2,11"
1,6,2.571428571428571,40.5974025974026,None,None,None,None,None,None,"2,11"
1,6,0.7402597402597397,42.66233766233766,None,None,None,None,None,None,"2,11"
1,6,0.6623376623376629,46.05194805194805,None,None,None,None,None,None,"2,11"
1,6,4.402597402597403,42.97402597402598,None,None,None,None,None,None,"2,11"
1,6,5.2987012987013,47.103896103896105,None,None,None,None,None,None,"2,11"
1,6,2.2597402597402603,47.2987012987013,None,None,None,None,None,None,"2,11"
1,6,9.467532467532468,46.753246753246756,None,None,None,None,None,None,"1,11"
1,6,14.454545454545453,46.87012987012987,None,None,None,None,None,None,"1,11"
1,6,9.506493506493506,44.02597402597403,None,None,None,None,None,None,"1,11"
1,6,9.311688311688311,41.25974025974026,None,None,None,None,None,None,"1,11"
1,6,11.454545454545453,45.42857142857143,None,None,None,None,None,None,"1,11"
1,6,14.025974025974026,42.38961038961039,None,None,None,None,None,None,"1,11"
1,6,11.181818181818183,42.0,None,None,None,None,None,None,"1,11"
1,6,15.7012987012987,45.311688311688314,None,None,None,None,None,None,"1,11"
1,6,15.428571428571427,41.25974025974026,None,None,None,None,None,None,"1,11"
1,6,12.623376623376622,40.44155844155844,None,None,None,None,None,None,"1,11"
1,6,12.857142857142858,44.961038961038966,None,None,None,None,None,None,"1,11"
1,6,17.493506493506494,46.83116883116883,None,None,None,None,None,None,"0,11"
1,6,18.233766233766232,43.98701298701299,None,None,None,None,None,None,"0,11"
1,6,17.064935064935064,40.63636363636364,None,None,None,None,None,None,"0,11"
1,6,19.324675324675326,41.961038961038966,None,None,None,None,None,None,"0,11"
1,6,16.98701298701299,43.83116883116883,None,None,None,None,None,None,"0,11"
1,6,19.207792207792206,47.57142857142858,None,None,None,None,None,None,"0,11"
1,6,19.48051948051948,45.116883116883116,None,None,None,None,None,None,"0,11"
1,6,18.467532467532468,40.519480519480524,None,None,None,None,None,None,"0,11"
1,6,22.441558441558442,46.83116883116883,None,None,None,None,None,None,"11"
1,6,25.753246753246756,47.142857142857146,None,None,None,None,None,None,"11"
1,6,25.5974025974026,39.85714285714286,None,None,None,None,None,None,"11"
1,6,27.19480519480519,45.81818181818182,None,None,None,None,None,None,"11"
1,6,27.116883116883116,42.350649350649356,None,None,None,None,None,None,"11"
1,6,22.636363636363637,40.324675324675326,None,None,None,None,None,None,"11"
1,6,21.07792207792208,45.07792207792208,None,None,None,None,None,None,"11"
1,6,20.92207792207792,41.922077922077925,None,None,None,None,None,None,"11"
1,6,22.636363636363637,44.57142857142858,None,None,None,None,None,None,"11"
1,6,25.909090909090907,45.0,None,None,None,None,None,None,"11"
1,6,25.83116883116883,42.03896103896104,None,None,None,None,None,None,"11"
1,6,22.48051948051948,43.01298701298702,None,None,None,None,None,None,"11"
1,6,24.662337662337663,44.18181818181819,None,None,None,None,None,None,"11"
1,6,24.545454545454547,42.935064935064936,None,None,None,None,None,None,"11"
1,6,28.870129870129873,46.714285714285715,None,None,None,None,None,None,"3,11"
1,6,30.77922077922078,44.76623376623377,None,None,None,None,None,None,"3,11"
1,6,30.506493506493506,41.493506493506494,None,None,None,None,None,None,"3,11"
1,6,28.753246753246756,44.80519480519481,None,None,None,None,None,None,"3,11"
1,6,28.714285714285715,41.64935064935065,None,None,None,None,None,None,"3,11"
1,6,29.493506493506494,40.55844155844156,None,None,None,None,None,None,"3,11"
1,6,30.116883116883116,46.87012987012987,None,None,None,None,None,None,"3,11"
1,6,29.532467532467535,44.61038961038961,None,None,None,None,None,None,"3,11"
1,6,29.766233766233768,43.05194805194805,None,None,None,None,None,None,"3,11"
1,6,33.77922077922078,46.83116883116883,None,None,None,None,None,None,"4,11"
1,6,36.62337662337662,47.02597402597403,None,None,None,None,None,None,"4,11"
1,6,38.493506493506494,44.33766233766234,None,None,None,None,None,None,"4,11"
1,6,38.8051948051948,41.68831168831169,None,None,None,None,None,None,"4,11"
1,6,36.74025974025974,40.05194805194805,None,None,None,None,None,None,"4,11"
1,6,33.857142857142854,40.324675324675326,None,None,None,None,None,None,"4,11"
1,6,32.18181818181818,44.76623376623377,None,None,None,None,None,None,"4,11"
1,6,32.37662337662338,42.15584415584416,None,None,None,None,None,None,"4,11"
1,6,33.935064935064936,43.63636363636364,None,None,None,None,None,None,"4,11"
1,6,37.20779220779221,43.36363636363637,None,None,None,None,None,None,"4,11"
1,6,34.83116883116883,41.41558441558442,None,None,None,None,None,None,"4,11"
1,6,35.37662337662338,46.01298701298701,None,None,None,None,None,None,"4,11"
1,6,36.35064935064935,43.36363636363637,None,None,None,None,None,None,"4,11"
1,6,41.84415584415584,47.02597402597403,None,None,None,None,None,None,"5,11"
1,6,45.116883116883116,47.18181818181819,None,None,None,None,None,None,"5,11"
1,6,47.18181818181818,44.961038961038966,None,None,None,None,None,None,"5,11"
1,6,47.064935064935064,41.45454545454545,None,None,None,None,None,None,"5,11"
1,6,44.96103896103896,40.09090909090909,None,None,None,None,None,None,"5,11"
1,6,41.72727272727273,40.285714285714285,None,None,None,None,None,None,"5,11"
